page,elementType,state,selector,text,textColor,bgColor,ratio,wcagAA,wcagAAA,fontSize,fontWeight,isLargeText,isDisabled
Home,button,default,button:not([type=""hidden""]),العربية,"rgba(255, 255, 255, 0.9)","rgb(255, 255, 255)",1.00,FAIL,FAIL,13px,400,,
Home,button,default,button:not([type=""hidden""]),SAR
                            SAR,"rgba(255, 255, 255, 0.9)","rgb(255, 255, 255)",1.00,FAIL,FAIL,13px,400,,
Home,button,default,button:not([type=""hidden""]),الحساب,"rgb(17, 24, 39)","rgb(249, 250, 251)",16.98,PASS,PASS,16px,400,,
Home,button,default,button:not([type=""hidden""]),كل الفئات,"rgb(33, 37, 41)","rgb(255, 255, 255)",15.43,PASS,PASS,16px,400,,
Home,button,default,button:not([type=""hidden""]),Menu,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,11px,400,,
Home,button,default,button:not([type=""hidden""]),التصنيفات,"rgb(107, 114, 128)","rgb(255, 255, 255)",4.83,PASS,FAIL,11px,400,,
Home,button,default,button:not([type=""hidden""]),الحساب,"rgb(107, 114, 128)","rgb(255, 255, 255)",4.83,PASS,FAIL,11px,400,,
Home,button,default,button:not([type=""hidden""]),الصفحات,"rgb(17, 24, 39)","rgb(255, 255, 255)",17.74,PASS,PASS,16px,400,,
Home,button,default,button:not([type=""hidden""]),Show Products,"rgb(255, 255, 255)","rgb(195, 0, 47)",6.25,PASS,FAIL,15px,600,,
Home,button,default,button:not([type=""hidden""]),بحث,"rgb(255, 255, 255)","rgb(195, 0, 47)",6.25,PASS,FAIL,16px,600,,
Home,button,default,button:not([type=""hidden""]),البحث برقم الهيكل,"rgb(255, 255, 255)","rgb(31, 41, 55)",14.68,PASS,PASS,15.2px,500,,
Home,button,default,button:not([type=""hidden""]),بحث,"rgb(255, 255, 255)","rgb(195, 0, 47)",6.25,PASS,FAIL,16px,600,,
Home,button,default,button:not([type=""hidden""]),Reset settings,"rgb(85, 85, 85)","rgb(255, 255, 255)",7.46,PASS,PASS,13px,400,,
Home,button,default,button:not([type=""hidden""]),Search,"rgb(85, 85, 85)","rgb(255, 255, 255)",7.46,PASS,PASS,13px,400,,
Home,button,default,[type=""submit""],Search,"rgb(85, 85, 85)","rgb(255, 255, 255)",7.46,PASS,PASS,13px,400,,
Home,link,default,a:not(.btn):not(.nav-link),0506552294,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),partstore.a@gmail.com,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),English,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),العربية,"rgb(195, 0, 47)","rgb(249, 250, 251)",5.98,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),USD,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),SAR,"rgb(195, 0, 47)","rgb(249, 250, 251)",5.98,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),Become Vendor,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),المندوب,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,14px,400,,
Home,link,default,a:not(.btn):not(.nav-link),تسجيل الدخول,"rgb(195, 0, 47)","rgb(255, 255, 255)",6.25,PASS,FAIL,16px,400,,
Home,label,default,label,الفئة,"rgb(17, 24, 39)","rgb(255, 255, 255)",17.74,PASS,PASS,13px,600,,
Home,label,default,label,Model,"rgb(17, 24, 39)","rgb(255, 255, 255)",17.74,PASS,PASS,13px,600,,
Home,label,default,label,Part Type,"rgb(17, 24, 39)","rgb(255, 255, 255)",17.74,PASS,PASS,13px,600,,
Home,label,default,label,Hide empty tabs until they have data,"rgb(17, 24, 39)","rgb(255, 255, 255)",17.74,PASS,PASS,14px,400,,
Home,label,default,label,Automatically show new incoming Ajax requests,"rgb(17, 24, 39)","rgb(255, 255, 255)",17.74,PASS,PASS,14px,400,,
Home,heading,default,"h1, h2, h3, h4",البحث برقم القطعة أو اسم القطعة,"rgb(17, 24, 39)","rgb(243, 244, 246)",16.12,PASS,PASS,28px,700,true,
Home,heading,default,"h1, h2, h3, h4",استكشف كتالوجات قطع الغيار الأصلية,"rgb(17, 24, 39)","rgb(243, 244, 246)",16.12,PASS,PASS,24px,700,true,
Home,heading,default,"h1, h2, h3, h4",تسوق حسب الفئة,"rgb(17, 24, 39)","rgb(243, 244, 246)",16.12,PASS,PASS,24px,700,true,
Home,text,default,p,"Login or create an account to access your orders, ","rgb(107, 114, 128)","rgb(255, 255, 255)",4.83,PASS,FAIL,13px,400,,
Home,text,default,p,إذا كنت لا تعرف رقم القطعة الصحيح لسيارتك، فابحث أ,"rgb(107, 114, 128)","rgb(243, 244, 246)",4.39,FAIL,FAIL,15.2px,400,,
Home,text,default,p,البحث عن قطع الغيار داخل المركبة برقم الهيكل (VIN),"rgb(107, 114, 128)","rgb(243, 244, 246)",4.39,FAIL,FAIL,13.6px,400,,
Home,text,default,p,Best Quality Gaurentee,"rgb(107, 114, 128)","rgb(255, 255, 255)",4.83,PASS,FAIL,13.6px,400,,
